NBA Team,Population,Payroll,Yearly Relative Payroll,Yearly Relative Population,Reg. Season Placement,W,L,W%
Atlanta Hawks,5803000,135166020,0.983421170616453,0.1252448081286,2,43,39,0.524390243902439
Boston Celtics,4309000,138096726,1.0047439729395,-0.164452890190223,1,51,31,0.621951219512195
Brooklyn Nets,18804000,174811922,1.27187102920506,2.64623528727385,4,44,38,0.536585365853659
Charlotte Hornets,2054000,122139566,0.888645200726526,-0.601714141668767,3,43,39,0.524390243902439
Chicago Bulls,8865000,136083814,0.990098722044429,0.71898935448217,2,46,36,0.560975609756098
Cleveland Cavaliers,1763000,136385911,0.992296675238432,-0.658141203389502,3,44,38,0.536585365853659
Dallas Mavericks,6301000,126696965,0.921803258199449,0.221810707568207,2,52,30,0.634146341463415
Denver Nuggets,2827000,137963926,1.00377776611135,-0.451823699365923,2,48,34,0.585365853658537
Detroit Pistons,3548000,131120355,0.953986312578745,-0.312016443349945,5,23,59,0.280487804878049
Golden State Warriors,3314000,178980766,1.30220209500546,-0.357390781640845,2,53,29,0.646341463414634
Houston Rockets,6371000,132267085,0.962329523091129,0.235384227569758,5,20,62,0.24390243902439
Indiana Pacers,1964000,138181486,1.00536065735783,-0.61916581024219,4,25,57,0.304878048780488
Los Angeles Clippers,12447000,168378382,1.22506281928657,1.41356576370441,3,42,40,0.51219512195122
Los Angeles Lakers,12447000,164409293,1.19618510171627,1.41356576370441,4,33,49,0.402439024390244
Memphis Grizzlies,1150000,117284457,0.853321108352936,-0.777006457117372,1,56,26,0.682926829268293
Miami Heat,6122000,140840240,1.02470483107146,0.187101277849954,1,53,29,0.646341463414634
Milwaukee Bucks,1439000,160875421,1.17047387237735,-0.720967210253825,1,51,31,0.621951219512195
Minnesota Timberwolves,2926000,137432702,0.999912764183056,-0.432626863935157,3,46,36,0.560975609756098
New Orleans Pelicans,992000,135793968,0.987989902885453,-0.807643830835159,3,36,46,0.439024390243902
New York Knicks,18804000,120644081,0.877764569563905,2.64623528727385,5,37,45,0.451219512195122
Oklahoma City Thunder,989000,82022873,0.596770029797317,-0.80822555312094,5,24,58,0.292682926829268
Orlando Magic,1964000,126786646,0.922455746110257,-0.61916581024219,5,22,60,0.268292682926829
Philadelphia 76ers,5717000,148922969,1.08351196924832,0.108568769269551,2,51,31,0.621951219512195
Phoenix Suns,4511000,136476474,0.992955580275915,-0.125283589614318,1,64,18,0.780487804878049
Portland Trail Blazers,2151000,124788473,0.907917731076936,-0.582905121095189,4,27,55,0.329268292682927
Sacramento Kings,2123000,130457848,0.949166140989158,-0.58833452909581,5,30,52,0.365853658536585
San Antonio Spurs,2320000,127655401,0.928776506750238,-0.550134765662873,4,34,48,0.414634146341463
Toronto Raptors,6197000,134896484,0.981460119986692,0.201644334994474,3,48,34,0.585365853658537
Utah Jazz,1169000,149760719,1.08960714824141,-0.773322215974094,1,49,33,0.597560975609756
Washington Wizards,5322000,128019790,0.931427674972397,0.0319753349750829,4,35,47,0.426829268292683
