NBA Team ID,Year,Season,NBA Team,Payroll NBA Team,Host City,Population,Payroll,W,L,W%,Reg. Season Placement,Out of,Achievements,Playoff,Achievement Category,Global Ranking
Atlanta Hawks_1990-91,1990,1990-91,Atlanta Hawks,Atlanta,Atlanta,2184000,23340645,43,39,0.524,4,7,Lost E. Conf. 1st Rnd.,Yes,5,9
Atlanta Hawks_1991-92,1991,1991-92,Atlanta Hawks,Atlanta,Atlanta,2292000,24509666,38,44,0.463,5,7,,No,6,17
Atlanta Hawks_1992-93,1992,1992-93,Atlanta Hawks,Atlanta,Atlanta,2406000,33164237,43,39,0.524,4,7,Lost E. Conf. 1st Rnd.,Yes,5,9
Atlanta Hawks_1993-94,1993,1993-94,Atlanta Hawks,Atlanta,Atlanta,2525000,40187045,57,25,0.695,1,7,Lost E. Conf. Semis,Yes,4,5
Atlanta Hawks_1994-95,1994,1994-95,Atlanta Hawks,Atlanta,Atlanta,2650000,38093574,42,40,0.512,5,7,Lost E. Conf. 1st Rnd.,Yes,5,9
Atlanta Hawks_1995-96,1995,1995-96,Atlanta Hawks,Atlanta,Atlanta,2781000,37574117,46,36,0.561,4,8,Lost E. Conf. Semis,Yes,4,5
Atlanta Hawks_1996-97,1996,1996-97,Atlanta Hawks,Atlanta,Atlanta,2919000,42455225,56,26,0.683,2,8,Lost E. Conf. Semis,Yes,4,5
Atlanta Hawks_1997-98,1997,1997-98,Atlanta Hawks,Atlanta,Atlanta,3064000,48461692,50,32,0.61,4,8,Lost E. Conf. 1st Rnd.,Yes,5,9
Atlanta Hawks_1998-99,1998,1998-99,Atlanta Hawks,Atlanta,Atlanta,3215000,64773371,31,19,0.62,2,8,Lost E. Conf. Semis,Yes,4,5
Atlanta Hawks_1999-00,1999,1999-00,Atlanta Hawks,Atlanta,Atlanta,3375000,68511952,28,54,0.341,7,8,,No,6,17
Atlanta Hawks_2000-01,2000,2000-01,Atlanta Hawks,Atlanta,Atlanta,3522000,58762651,25,57,0.305,7,8,,No,6,17
Atlanta Hawks_2001-02,2001,2001-02,Atlanta Hawks,Atlanta,Atlanta,3613000,74623833,33,49,0.402,6,8,,No,6,17
Atlanta Hawks_2002-03,2002,2002-03,Atlanta Hawks,Atlanta,Atlanta,3706000,79834735,35,47,0.427,5,8,,No,6,17
Atlanta Hawks_2003-04,2003,2003-04,Atlanta Hawks,Atlanta,Atlanta,3802000,90512897,28,54,0.341,7,8,,No,6,17
Atlanta Hawks_2004-05,2004,2004-05,Atlanta Hawks,Atlanta,Atlanta,3900000,55798865,13,69,0.159,5,5,,No,6,17
Atlanta Hawks_2005-06,2005,2005-06,Atlanta Hawks,Atlanta,Atlanta,4001000,56920182,26,56,0.317,5,5,,No,6,17
Atlanta Hawks_2006-07,2006,2006-07,Atlanta Hawks,Atlanta,Atlanta,4104000,61726391,30,52,0.366,5,5,,No,6,17
Atlanta Hawks_2007-08,2007,2007-08,Atlanta Hawks,Atlanta,Atlanta,4210000,68672363,37,45,0.451,3,5,Lost E. Conf. 1st Rnd.,Yes,5,9
Atlanta Hawks_2008-09,2008,2008-09,Atlanta Hawks,Atlanta,Atlanta,4319000,80313146,47,35,0.573,2,5,Lost E. Conf. Semis,Yes,4,5
Atlanta Hawks_2009-10,2009,2009-10,Atlanta Hawks,Atlanta,Atlanta,4430000,78744343,53,29,0.646,2,5,Lost E. Conf. Semis,Yes,4,5
Atlanta Hawks_2010-11,2010,2010-11,Atlanta Hawks,Atlanta,Atlanta,4544000,84530590,44,38,0.537,3,5,Lost E. Conf. Semis,Yes,4,5
Atlanta Hawks_2011-12,2011,2011-12,Atlanta Hawks,Atlanta,Atlanta,4661000,84138365,40,26,0.606,2,5,Lost E. Conf. 1st Rnd.,Yes,5,9
Atlanta Hawks_2012-13,2012,2012-13,Atlanta Hawks,Atlanta,Atlanta,4782000,74942614,44,38,0.537,2,5,Lost E. Conf. 1st Rnd.,Yes,5,9
Atlanta Hawks_2013-14,2013,2013-14,Atlanta Hawks,Atlanta,Atlanta,4905000,65136701,38,44,0.463,4,5,Lost E. Conf. 1st Rnd.,Yes,5,9
Atlanta Hawks_2014-15,2014,2014-15,Atlanta Hawks,Atlanta,Atlanta,5032000,63080477,60,22,0.732,1,5,Lost E. Conf. Finals,Yes,3,3
Atlanta Hawks_2015-16,2015,2015-16,Atlanta Hawks,Atlanta,Atlanta,5162000,77415101,48,34,0.585,2,5,Lost E. Conf. Semis,Yes,4,5
Atlanta Hawks_2016-17,2016,2016-17,Atlanta Hawks,Atlanta,Atlanta,5295000,103020345,43,39,0.524,2,5,Lost E. Conf. 1st Rnd.,Yes,5,9
Atlanta Hawks_2017-18,2017,2017-18,Atlanta Hawks,Atlanta,Atlanta,5432000,105234890,24,58,0.293,5,5,,No,6,17
Atlanta Hawks_2018-19,2018,2018-19,Atlanta Hawks,Atlanta,Atlanta,5572000,81005062,29,53,0.354,5,5,,No,6,17
Atlanta Hawks_2019-20,2019,2019-20,Atlanta Hawks,Atlanta,Atlanta,5689000,86152846,20,47,0.299,5,5,,No,6,17
Atlanta Hawks_2020-21,2020,2020-21,Atlanta Hawks,Atlanta,Atlanta,5803000,118804016,41,31,0.569,1,5,Lost E. Conf. Finals,Yes,3,3
Boston Celtics_1990-91,1990,1990-91,Boston Celtics,Boston,Boston,3428000,22338430,56,26,0.683,1,6,Lost E. Conf. Semis,Yes,4,5
Boston Celtics_1991-92,1991,1991-92,Boston Celtics,Boston,Boston,3486000,48039325,51,31,0.622,1,7,Lost E. Conf. Semis,Yes,4,5
Boston Celtics_1992-93,1992,1992-93,Boston Celtics,Boston,Boston,3544000,46368515,48,34,0.585,2,7,Lost E. Conf. 1st Rnd.,Yes,5,9
Boston Celtics_1993-94,1993,1993-94,Boston Celtics,Boston,Boston,3604000,31922901,32,50,0.39,5,7,,No,6,17
Boston Celtics_1994-95,1994,1994-95,Boston Celtics,Boston,Boston,3664000,42609654,35,47,0.427,3,7,Lost E. Conf. 1st Rnd.,Yes,5,9
Boston Celtics_1995-96,1995,1995-96,Boston Celtics,Boston,Boston,3726000,34179649,33,49,0.402,5,7,,No,6,17
Boston Celtics_1996-97,1996,1996-97,Boston Celtics,Boston,Boston,3788000,42533206,15,67,0.183,7,7,,No,6,17
Boston Celtics_1997-98,1997,1997-98,Boston Celtics,Boston,Boston,3852000,43100980,36,46,0.439,6,7,,No,6,17
Boston Celtics_1998-99,1998,1998-99,Boston Celtics,Boston,Boston,3917000,51019847,19,31,0.38,5,7,,No,6,17
Boston Celtics_1999-00,1999,1999-00,Boston Celtics,Boston,Boston,3982000,71588876,35,47,0.427,5,7,,No,6,17
Boston Celtics_2000-01,2000,2000-01,Boston Celtics,Boston,Boston,4036000,76978277,36,46,0.439,5,7,,No,6,17
Boston Celtics_2001-02,2001,2001-02,Boston Celtics,Boston,Boston,4051000,68816840,49,33,0.598,2,7,Lost E. Conf. Finals,Yes,3,3
Boston Celtics_2002-03,2002,2002-03,Boston Celtics,Boston,Boston,4065000,75301645,44,38,0.537,3,7,Lost E. Conf. Semis,Yes,4,5
Boston Celtics_2003-04,2003,2003-04,Boston Celtics,Boston,Boston,4080000,84462422,36,46,0.439,4,7,Lost E. Conf. 1st Rnd.,Yes,5,9
Boston Celtics_2004-05,2004,2004-05,Boston Celtics,Boston,Boston,4095000,87758815,45,37,0.549,1,5,Lost E. Conf. 1st Rnd.,Yes,5,9
Boston Celtics_2005-06,2005,2005-06,Boston Celtics,Boston,Boston,4110000,75426885,33,49,0.402,3,5,,No,6,17
